scrutin_ref,senateur_ref,position
senat-2020-2,14281W,nonVotant
senat-2020-2,20100N,nonVotant
senat-2020-2,08045X,nonVotant
senat-2020-2,19599P,nonVotant
senat-2020-2,19695N,nonVotant
senat-2020-2,19820Y,nonVotant
senat-2020-2,19347U,nonVotant
senat-2020-2,19565D,nonVotant
senat-2020-2,19725B,nonVotant
senat-2020-2,19685L,nonVotant
senat-2020-2,19333N,nonVotant
senat-2020-2,19551W,nonVotant
senat-2020-2,19715Y,nonVotant
senat-2020-2,14121F,nonVotant
senat-2020-2,19531S,nonVotant
senat-2020-2,19683J,nonVotant
senat-2020-2,14097Y,nonVotant
senat-2020-2,14021P,nonVotant
senat-2020-2,19489J,nonVotant
senat-2020-2,19649G,nonVotant
senat-2020-2,11099A,nonVotant
senat-2020-2,20102Q,nonVotant
senat-2020-2,12041X,nonVotant
senat-2020-2,11026G,nonVotant
senat-2020-2,18193Q,nonVotant
senat-2020-2,08017T,nonVotant
senat-2020-2,11077T,nonVotant
senat-2020-2,08012N,nonVotant
senat-2020-2,17779H,nonVotant
senat-2020-2,12016W,nonVotant
senat-2020-2,11104D,nonVotant
senat-2020-2,20142Y,nonVotant
senat-2020-2,14001X,nonVotant
senat-2020-2,01060R,nonVotant
senat-2020-2,20028X,nonVotant
senat-2020-2,11067R,nonVotant
senat-2020-2,20018V,nonVotant
senat-2020-2,14109K,nonVotant
senat-2020-2,14257W,nonVotant
senat-2020-2,19593H,nonVotant
senat-2020-2,20036X,nonVotant
senat-2020-2,20030R,nonVotant
senat-2020-2,20130U,nonVotant
senat-2020-2,17965H,nonVotant
senat-2020-2,19503N,nonVotant
senat-2020-2,14225N,nonVotant
senat-2020-2,20082E,nonVotant
senat-2020-2,14229S,nonVotant
senat-2020-2,11054L,nonVotant
senat-2020-2,11045K,nonVotant
senat-2020-2,20092G,nonVotant
senat-2020-2,19687N,nonVotant
senat-2020-2,20084G,nonVotant
senat-2020-2,01028R,nonVotant
senat-2020-2,19689Q,nonVotant
senat-2020-2,19669L,nonVotant
senat-2020-2,19413M,nonVotant
senat-2020-2,01062T,nonVotant
senat-2020-2,20064C,nonVotant
senat-2020-2,11041F,nonVotant
senat-2020-2,19527W,nonVotant
senat-2020-2,20046A,nonVotant
senat-2020-2,11066Q,nonVotant
senat-2020-2,19265T,nonVotant
senat-2020-2,14037X,nonVotant
senat-2020-3,11109J,pour
senat-2020-3,19631V,pour
senat-2020-3,04059M,pour
senat-2020-3,20110Q,pour
senat-2020-3,11033F,pour
senat-2020-3,19549D,pour
senat-2020-3,20094J,pour
